"genelist[, 1]",pvalues,padj
FBgn0039924,3.23E-10,1.19E-06
FBgn0000635,3.06E-09,5.63E-06
FBgn0031914,8.11E-09,9.94E-06
FBgn0266275,1.30E-08,1.19E-05
FBgn0001977,3.94E-08,1.91E-05
FBgn0003285,3.84E-08,1.91E-05
FBgn0040353,3.93E-08,1.91E-05
FBgn0265508,4.15E-08,1.91E-05
FBgn0264904,7.02E-08,2.87E-05
FBgn0037933,8.41E-08,3.09E-05
FBgn0266144,2.05E-07,6.27E-05
FBgn0266809,2.00E-07,6.27E-05
FBgn0038447,2.56E-07,7.01E-05
FBgn0266382,2.67E-07,7.01E-05
FBgn0266654,4.58E-07,0.000112265
FBgn0031909,4.95E-07,0.000113676
FBgn0086906,6.15E-07,0.000132979
FBgn0267151,7.89E-07,0.000161296
FBgn0036433,8.65E-07,0.000167479
FBgn0261552,1.24E-06,0.000228834
FBgn0031957,1.33E-06,0.000232302
FBgn0052576,1.42E-06,0.000238206
FBgn0267465,1.57E-06,0.000251362
FBgn0267320,1.76E-06,0.000269008
FBgn0036947,2.18E-06,0.000320515
FBgn0265070,2.64E-06,0.000373655
FBgn0025644,3.88E-06,0.000452534
FBgn0028491,3.99E-06,0.000452534
FBgn0028658,3.78E-06,0.000452534
FBgn0033785,3.33E-06,0.000452534
FBgn0040352,3.63E-06,0.000452534
FBgn0266813,4.06E-06,0.000452534
FBgn0267451,3.98E-06,0.000452534
FBgn0030859,4.24E-06,0.000458378
FBgn0033527,4.49E-06,0.000458966
FBgn0039111,4.42E-06,0.000458966
FBgn0052544,4.72E-06,0.000463691
FBgn0264916,4.79E-06,0.000463691
FBgn0052732,4.97E-06,0.000469092
FBgn0032147,5.53E-06,0.000508448
FBgn0265169,5.77E-06,0.000517293
FBgn0023388,6.05E-06,0.000529837
FBgn0046225,9.20E-06,0.000786543
FBgn0024989,9.82E-06,0.000820882
FBgn0027570,1.04E-05,0.000848053
FBgn0017430,1.19E-05,0.000950121
FBgn0264350,1.23E-05,0.000950121
FBgn0264838,1.24E-05,0.000950121
FBgn0029639,1.31E-05,0.000982228
FBgn0053181,1.39E-05,0.001023198
FBgn0267808,1.44E-05,0.001035929
FBgn0010926,1.50E-05,0.001047619
FBgn0267035,1.51E-05,0.001047619
FBgn0267740,1.63E-05,0.00111189
FBgn0030196,1.69E-05,0.001130293
FBgn0266331,1.89E-05,0.001243642
FBgn0028406,2.16E-05,0.001369801
FBgn0264328,2.14E-05,0.001369801
FBgn0026620,2.61E-05,0.001501102
FBgn0030956,2.53E-05,0.001501102
FBgn0032259,2.51E-05,0.001501102
FBgn0034442,2.46E-05,0.001501102
FBgn0034921,2.41E-05,0.001501102
FBgn0266702,2.60E-05,0.001501102
FBgn0044872,2.67E-05,0.001509891
FBgn0085236,2.75E-05,0.001532723
FBgn0031022,3.01E-05,0.001559678
FBgn0262895,2.89E-05,0.001559678
FBgn0264696,3.01E-05,0.001559678
FBgn0265052,2.87E-05,0.001559678
FBgn0266160,2.97E-05,0.001559678
FBgn0005558,3.24E-05,0.001654975
FBgn0266677,3.28E-05,0.001654975
FBgn0036040,3.39E-05,0.001662919
FBgn0036892,3.35E-05,0.001662919
FBgn0034646,3.48E-05,0.001682947
FBgn0042110,3.79E-05,0.00181219
FBgn0263981,3.90E-05,0.00183851
FBgn0267041,4.07E-05,0.001881759
FBgn0267705,4.09E-05,0.001881759
FBgn0032057,4.17E-05,0.001891333
FBgn0266627,4.36E-05,0.001957614
FBgn0038814,4.42E-05,0.001959739
FBgn0001083,4.63E-05,0.00202662
FBgn0026176,4.86E-05,0.002073467
FBgn0036765,4.90E-05,0.002073467
FBgn0265053,4.88E-05,0.002073467
FBgn0036723,5.17E-05,0.002134679
FBgn0053517,5.12E-05,0.002134679
FBgn0035669,5.25E-05,0.002144727
FBgn0019982,5.66E-05,0.002261256
FBgn0063499,5.61E-05,0.002261256
FBgn0032798,5.90E-05,0.002332374
FBgn0266819,6.14E-05,0.002403324
