pop,d14,d17,d20,d23,d26,d29,d32,d35
ACO.1,16.47012195,11.82320445,10.64803945,10.44339686,9.385621128,8.270128282,6.933567915,6.932592465
ACO.2,9.949192128,7.624099196,8.562283353,7.919659138,6.324084465,6.110530518,5.465078874,7.720327918
ACO.3,7.346874926,8.04321732,8.2723091,8.955223121,7.596459913,8.550079335,8.499931125,11.05887932
ACO.4,16.63636741,7.816494182,8.84596992,8.041644767,6.689034481,5.429774205,4.288797426,4.797327548
ACO.5,14.57969418,8.004938729,8.283630592,7.39132893,7.005533527,6.260094842,7.969003737,6.339092924
AO.6,11.85597842,7.953921977,7.421403294,5.812760804,5.271716648,4.996916595,5.20502737,2.190589449
AO.7,10.81411527,7.462102825,7.582206665,7.748267056,5.833833747,6.613157727,4.05592487,2.789527727
AO.8,12.32798086,7.821631045,7.786439724,8.057287604,7.47469838,6.450929639,5.109498273,7.524169602
AO.9,15.18925562,7.592283465,8.242215019,8.256320052,8.348609514,8.678906307,7.666644542,5.151721069
AO.10,14.07315781,7.956710339,7.496103952,5.545948908,4.652161909,4.932086863,7.969882971,10.0496022
CO.11,5.649929548,10.82846757,7.800588936,8.517116292,8.763092161,7.559270084,7.454524416,6.903735988
CO.12,3.42592237,8.674636177,8.428840319,8.128758295,8.984098952,8.479909602,7.175586454,9.745813178
CO.13,8.579846926,8.849144166,10.46335948,9.839613129,8.056242027,7.777796698,6.387757393,10.46694068
CO.14,11.9189978,11.43544485,11.70955392,13.53492498,13.77872777,10.84557712,10.76653893,12.80618157
CO.15,9.908135497,7.853085913,9.307793295,6.160235662,7.95048127,5.901152276,7.688075071,8.364320203
nCO.16,8.938798468,11.52626748,9.452777306,8.525645211,8.20396955,7.839285191,7.643936394,8.418104327
nCO.17,6.206110582,9.626943064,6.786648906,8.502946934,7.558301753,7.5002373,5.903766591,9.301330051
nCO.18,10.42425246,9.904856036,9.613723775,8.533041858,8.405671583,7.21572902,6.297234705,10.36797049
nCO.19,12.45115191,9.758475035,10.54089554,8.925472059,9.457514107,9.038475792,8.726772711,10.71587745
nCO.20,10.15019289,9.408113111,10.15702642,7.915351348,9.461624196,8.219329907,9.595186211,9.255433067
