pop,d14,d17,d20,d23,d26,d29,d32,d35
ACO.1,0.0120912,0.0049684,0.007040183,0.010513796,0.02750409,0.056327601,0.127106624,0.160127411
ACO.2,0.014118294,0.013596371,0.021413794,0.048455919,0.086468483,0.099322521,0.1846682,0.209138355
ACO.3,0.018132502,0.011376824,0.024979894,0.032898346,0.069600999,0.078023508,0.154656619,0.206442642
ACO.4,0.009179967,0.014233714,0.025793655,0.050091507,0.128763741,0.218534263,0.294047467,0.201124087
ACO.5,0.00735981,0.018790989,0.031364559,0.067608444,0.150637687,0.190214352,0.244571892,0.239335217
AO.6,0.009529392,0.010969433,0.024455379,0.066711588,0.173732827,0.309362437,0.346646578,0.253169849
AO.7,0.014319654,0.03948325,0.072581387,0.082170845,0.209308145,0.209598464,0.223222208,0.113009191
AO.8,0.008893175,0.008779195,0.022146542,0.055251901,0.110969826,0.141548836,0.272731774,0.225620141
AO.9,0.006545497,0.017875319,0.057609351,0.094175728,0.160842602,0.252692983,0.270429928,0.176076079
AO.10,0.008915778,0.030653364,0.072833619,0.198271557,0.239778576,0.344674887,0.25283815,0.223429273
CO.11,0.002764191,0.002321557,0.002220837,0.000822548,0.002122606,0.003207012,0.004563222,0.003771654
CO.12,0.006627416,0.005308548,0.005024399,0.002482616,0.002500583,0.001762293,0.003549635,0.004230595
CO.13,0.002722165,0.001121589,0.001876696,0.002897756,0.002286158,0.002558848,0.005429295,0.003936676
CO.14,0.003110365,0.001917989,0.002280987,0.001764889,0.004441938,0.004147493,0.00566688,0.00539171
CO.15,0.003232101,0.00247517,0.002606879,0.001941075,0.00264239,0.003594597,0.003633445,0.005697454
nCO.16,0.003138514,0.003293477,0.002585036,0.003351936,0.004390649,0.002794578,0.009410791,0.012645523
nCO.17,0.003219334,0.001855523,0.002566202,0.002823095,0.001896766,0.002744629,0.006519179,0.010252036
nCO.18,0.002529659,0.00231655,0.001631706,0.003283876,0.003436237,0.002872378,0.002533227,0.004383457
nCO.19,0.003727546,0.002468286,0.001700118,0.003687803,0.003995335,0.005943787,0.01638052,0.019329645
nCO.20,0.005029588,0.002280306,0.003380354,0.004237236,0.002488546,0.003065966,0.003376804,0.003410375
