"","d14","d17","d20","d23","d26","d29","d32","d35"
"1","FBgn0000541","FBgn0003416","FBgn0015295","FBgn0002561","FBgn0002948","FBgn0002948","FBgn0002922","FBgn0019982"
"2","FBgn0035113","FBgn0005558","FBgn0030417","FBgn0002948","FBgn0028491","FBgn0011659","FBgn0002948","FBgn0025644"
"3","FBgn0035537","FBgn0010926","FBgn0033527","FBgn0005558","FBgn0033527","FBgn0027570","FBgn0025833","FBgn0034454"
"4","FBgn0035842","FBgn0015295","FBgn0034655","FBgn0027570","FBgn0039152","FBgn0034655","FBgn0039344","FBgn0266159"
"5","FBgn0039359","FBgn0030417","FBgn0035772","FBgn0030417","FBgn0039344","FBgn0039152","FBgn0040352","FBgn0266654"
"6","FBgn0050404","FBgn0031022","FBgn0036334","FBgn0033527","FBgn0086368","FBgn0086368","FBgn0051410","FBgn0266756"
"7","FBgn0052690","FBgn0032957","FBgn0037301","FBgn0035481","FBgn0266654","FBgn0275432","FBgn0264822","FBgn0267035"
"8","FBgn0086907","FBgn0033527","FBgn0038394","FBgn0036334","0","0","FBgn0266756","FBgn0267804"
"9","FBgn0265102","FBgn0035772","FBgn0086368","FBgn0036461","0","0","FBgn0267035","0"
"10","FBgn0266144","FBgn0037301","FBgn0263590","FBgn0037548","0","0","0","0"
"11","FBgn0266627","FBgn0039359","FBgn0264556","FBgn0037702","0","0","0","0"
"12","FBgn0267023","FBgn0040354","0","FBgn0038394","0","0","0","0"
"13","FBgn0267617","FBgn0052690","0","FBgn0039344","0","0","0","0"
"14","0","FBgn0086368","0","FBgn0051635","0","0","0","0"
"15","0","FBgn0260635","0","FBgn0086368","0","0","0","0"
"16","0","FBgn0263452","0","FBgn0263590","0","0","0","0"
"17","0","FBgn0263590","0","FBgn0264272","0","0","0","0"
"18","0","FBgn0265070","0","0","0","0","0","0"
"19","0","FBgn0266629","0","0","0","0","0","0"
"20","0","0","0","0","0","0","0","0"
"21","0","0","0","0","0","0","0","0"
"22","0","0","0","0","0","0","0","0"
"23","0","0","0","0","0","0","0","0"
"24","0","0","0","0","0","0","0","0"
"25","0","0","0","0","0","0","0","0"
"26","0","0","0","0","0","0","0","0"
"27","0","0","0","0","0","0","0","0"
"28","0","0","0","0","0","0","0","0"
"29","0","0","0","0","0","0","0","0"
"30","0","0","0","0","0","0","0","0"
"31","0","0","0","0","0","0","0","0"
"32","0","0","0","0","0","0","0","0"
"33","0","0","0","0","0","0","0","0"
"34","0","0","0","0","0","0","0","0"
"35","0","0","0","0","0","0","0","0"
"36","0","0","0","0","0","0","0","0"
"37","0","0","0","0","0","0","0","0"
"38","0","0","0","0","0","0","0","0"
"39","0","0","0","0","0","0","0","0"
"40","0","0","0","0","0","0","0","0"
"41","0","0","0","0","0","0","0","0"
"42","0","0","0","0","0","0","0","0"
"43","0","0","0","0","0","0","0","0"
"44","0","0","0","0","0","0","0","0"
"45","0","0","0","0","0","0","0","0"
"46","0","0","0","0","0","0","0","0"
"47","0","0","0","0","0","0","0","0"
"48","0","0","0","0","0","0","0","0"
"49","0","0","0","0","0","0","0","0"
"50","0","0","0","0","0","0","0","0"
